,general,expert
113,javax,"{'Security,0.83', 'Input and Output,0.59', 'Security,0.7', 'Software Development and IT Operations,0.74', 'Input and Output,0.58', 'Data Structure,0.45', 'Security,0.74', 'Language,0.51', 'Parser,0.36', 'Input and Output,0.53', 'Parser,0.46', 'Data Structure,0.71', 'Big Data,0.32', 'Error Handling,0.49', 'Software Development and IT Operations,0.48', 'Error Handling,0.46', 'User Interface,0.53', 'Error Handling,0.71', 'Input and Output,0.52', 'Application,0.77', 'Geographic Information System ,0.55', 'Data Structure,0.57', 'Big Data,0.47', 'Security,0.86', 'Application Performance Manager,0.46', 'Database,0.55', 'Security,0.78', 'Network,0.44', 'Error Handling,0.69', 'Parser,0.52', 'Security,0.79', 'Network,0.48', 'Software Development and IT Operations,0.71', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.69', 'Security,0.71', 'Input and Output,0.48', 'Test,0.46', 'Input and Output,0.76', 'User Interface,0.43', 'Software Development and IT Operations,0.72', 'Big Data,0.43', 'Event Handling,0.63', 'Setup,0.49', 'Big Data,0.4', 'Setup,0.24', 'Natural Language Processing,0.54', 'Error Handling,0.56', 'Error Handling,0.53', 'Software Development and IT Operations,0.66', 'Data Structure,0.77', 'Application Performance Manager,0.63', 'Data Structure,0.55', 'Error Handling,0.57', 'Parser,0.45', 'Data Structure,0.73', 'Big Data,0.38', 'Data Structure,0.49', 'Parser,0.38', 'Software Development and IT Operations,0.52', 'Security,0.53', 'Error Handling,0.47', 'Application,0.45', 'User Interface,0.56', 'Language,0.13', 'Error Handling,0.66', 'Security,0.85', 'User Interface,0.37', 'Data Structure,0.47', 'Input and Output,0.64', 'Test,0.29', 'Data Structure,0.6', 'Software Development and IT Operations,0.55', 'Input and Output,0.62', 'Error Handling,0.52', 'Search,0.78', 'Software Development and IT Operations,0.5', 'Error Handling,0.7', 'Setup,0.37', 'User Interface,0.49', 'Parser,0.6', 'Software Development and IT Operations,0.75', 'User Interface,0.62', 'Multi Thread,0.33', 'Software Development and IT Operations,0.76', 'Error Handling,0.6', 'Software Development and IT Operations,0.65', 'Parser,0.35', 'User Interface,0.72', 'Data Structure,0.53', 'Geographic Information System ,0.66', 'Application Performance Manager,0.54', 'Language,0.49', 'Software Development and IT Operations,0.64', 'Database,0.78', 'Parser,0.62', 'Parser,0.55', 'Security,0.62', 'Big Data,0.54', 'User Interface,0.44', 'Parser,0.44', 'Event Handling,0.31', 'Error Handling,0.5', 'Parser,0.33', 'Parser,0.5', 'User Interface,0.48', 'Parser,0.61', 'Application Performance Manager,0.67', 'Parser,0.25', 'Software Development and IT Operations,0.57', 'Application Performance Manager,0.6', 'User Interface,0.5', 'Security,0.67', 'User Interface,0.64', 'Security,0.63', 'Natural Language Processing,0.5', 'Software Development and IT Operations,0.53', 'Multi Thread,0.45', 'Data Structure,0.85', 'User Interface,0.39', 'Multi Thread,0.4', 'Data Structure,0.54', 'Application Performance Manager,0.59', 'Application Performance Manager,0.68', 'User Interface,0.35', 'Language,0.26', 'Security,0.48', 'Data Structure,0.44', 'Security,0.56', 'Data Structure,0.37', 'Application Performance Manager,0.37', 'Application Performance Manager,0.69', 'Parser,0.49', 'Application,0.6', 'Software Development and IT Operations,0.6', 'Security,0.75', 'Geographic Information System ,0.39', 'Error Handling,0.64', 'Software Development and IT Operations,0.36', 'Security,0.8', 'Natural Language Processing,0.46', 'Data Structure,0.63', 'Parser,0.54', 'Search,0.7', 'Parser,0.58', 'Parser,0.81', 'Security,0.69', 'Application Performance Manager,0.48', 'User Interface,0.42', 'Data Structure,0.64', 'Application Performance Manager,0.52', 'Parser,0.39', 'Data Structure,0.51', 'Multi Thread,0.63', 'Big Data,0.52', 'Data Structure,0.5', 'Application,0.69', 'Application,0.63', 'Application Performance Manager,0.45', 'Application Performance Manager,0.36', 'Security,0.76', 'Software Development and IT Operations,0.82', 'Geographic Information System ,0.71', 'Data Structure,0.58', 'Software Development and IT Operations,0.41', 'Input and Output,0.38', 'Multi Thread,0.65', 'Application Performance Manager,0.47', 'Input and Output,0.36'}"
114,jbibtex,"{'Multi Thread,0.4', 'Input and Output,0.58', 'Software Development and IT Operations,0.55', 'Error Handling,0.42'}"
115,jdbc,"{'Database,0.54', 'Database,0.48', 'Database,0.42', 'Error Handling,0.44', 'Database,0.41', 'Database,0.46', 'Parser,0.45', 'Parser,0.34', 'Database,0.47', 'Database,0.57', 'Database,0.53', 'Error Handling,0.46', 'Error Handling,0.47', 'Database,0.58', 'Input and Output,0.52', 'Database,0.55', 'User Interface,0.51', 'Database,0.5', 'User Interface,0.63', 'Database,0.37', 'Error Handling,0.48', 'Database,0.39', 'Database,0.52', 'Error Handling,0.45', 'Setup,0.49', 'Test,0.58', 'Database,0.43', 'Data Structure,0.53', 'Database,0.56'}"
116,jdbi,"{'Database,0.54', 'Parser,0.76', 'Parser,0.63', 'Setup,0.51', 'Logic,0.48', 'Parser,0.44', 'Parser,0.58', 'User Interface,0.48', 'Parser,0.5', 'Logic,0.55', 'Database,0.59', 'Database,0.26', 'Logic,0.53', 'User Interface,0.56', 'User Interface,0.53', 'Setup,0.44', 'Software Development and IT Operations,0.53', 'User Interface,0.51', 'User Interface,0.39', 'User Interface,0.54', 'Parser,0.41', 'User Interface,0.61', 'Setup,0.56', 'Database,0.62', 'Software Development and IT Operations,0.56', 'Application,0.46', 'User Interface,0.47', 'User Interface,0.46', 'Software Development and IT Operations,0.65', 'Language,0.53', 'Database,0.35', 'User Interface,0.45'}"
117,jfoenix,"{'Input and Output,0.54', 'Input and Output,0.59', 'Input and Output,0.5', 'Input and Output,0.58', 'Event Handling,0.62', 'Software Development and IT Operations,0.5', 'Input and Output,0.44'}"
118,jgrapht,"{'Data Structure,0.61', 'Security,0.53', 'Data Structure,0.6', 'Data Structure,0.47', 'Data Structure,0.5'}"
119,jline,"{'Input and Output,0.45', 'Input and Output,0.5', 'Software Development and IT Operations,0.56', 'User Interface,0.47', 'User Interface,0.68', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.54', 'User Interface,0.75', 'User Interface,0.57'}"
120,joda,"{'Error Handling,0.28', 'Software Development and IT Operations,0.32', 'Error Handling,0.29', 'Big Data,0.53', 'Big Data,0.45', 'Error Handling,0.34', 'Big Data,0.55', 'Error Handling,0.32', 'Big Data,0.49', 'Big Data,0.32', 'Event Handling,0.27', 'Big Data,0.58', 'Error Handling,0.33', 'Software Development and IT Operations,0.38', 'Big Data,0.23', 'Parser,0.52', 'Big Data,0.48', 'Big Data,0.41', 'Big Data,0.51', 'Big Data,0.52', 'Big Data,0.3', 'Event Handling,0.46', 'Big Data,0.43', 'Big Data,0.31', 'Big Data,0.29', 'Big Data,0.4', 'Big Data,0.27', 'Parser,0.49', 'Big Data,0.14'}"
121,jsinterop,"{'Parser,0.53', 'Parser,0.48', 'Parser,0.54', 'Data Structure,0.53', 'Parser,0.56'}"
122,json,"{'Parser,0.56', 'Parser,0.57', 'Parser,0.54'}"
123,jsoup,"{'User Interface,0.49', 'Natural Language Processing,0.28', 'Data Structure,0.58', 'Network,0.59', 'Error Handling,0.57', 'Data Structure,0.59', 'Data Structure,0.63'}"
124,junit,"{'Test,0.72', 'Test,0.25', 'Parser,0.23', 'Test,0.62', 'Application,0.54', 'Parser,0.36', 'Test,0.64', 'Test,0.7', 'Test,0.68', 'Test,0.52', 'Parser,0.55', 'Parser,0.42', 'Test,0.41', 'Parser,0.45', 'Test,0.4', 'Parser,0.34', 'Logic,0.44', 'Test,0.54', 'Test,0.44', 'Error Handling,0.5', 'Parser,0.48', 'User Interface,0.48', 'Parser,0.44', 'Test,0.47', 'Parser,0.33', 'Test,0.51', 'Parser,0.38', 'Data Structure,0.42', 'Error Handling,0.39', 'Application,0.56', 'Setup,0.41', 'Setup,0.52', 'Setup,0.39', 'Test,0.69', 'Error Handling,0.66', 'User Interface,0.55', 'Parser,0.31', 'Parser,0.43', 'Parser,0.37', 'Test,0.32', 'Error Handling,0.62', 'Parser,0.3', 'Parser,0.4', 'Test,0.48', 'Test,0.6', 'Parser,0.39', 'Setup,0.45', 'Test,0.65', 'Test,0.36', 'Error Handling,0.52', 'Test,0.45', 'Test,0.24', 'User Interface,0.36', 'Data Structure,0.39', 'Test,0.43', 'Application,0.46', 'Test,0.66', 'Parser,0.27', 'Error Handling,0.45', 'Test,0.42', 'Parser,0.35', 'Test,0.5', 'Parser,0.49', 'Error Handling,0.43', 'Test,0.56', 'Test,0.39', 'Setup,0.3', 'Test,0.49'}"
125,kafka,"{'Error Handling,0.53', 'Setup,0.6', 'Parser,0.42', 'Input and Output,0.53', 'Application Performance Manager,0.51', 'Parser,0.45', 'Parser,0.44', 'Setup,0.36', 'Parser,0.5', 'Parser,0.33', 'Database,0.64', 'Setup,0.54', 'User Interface,0.53', 'Setup,0.53', 'Setup,0.43', 'Parser,0.43', 'User Interface,0.58', 'Parser,0.37', 'Input and Output,0.52', 'Software Development and IT Operations,0.53', 'Error Handling,0.55', 'Database,0.55', 'Database,0.49', 'Parser,0.47', 'Parser,0.32', 'Data Structure,0.64', 'Internationalization,0.24', 'Parser,0.39', 'Parser,0.52', 'Big Data,0.41', 'Error Handling,0.38', 'Database,0.28', 'Input and Output,0.56', 'Setup,0.58', 'Database,0.66', 'Input and Output,0.57', 'Input and Output,0.48', 'User Interface,0.62', 'Application Performance Manager,0.27', 'Data Structure,0.44', 'Database,0.52', 'Database,0.63', 'Data Structure,0.46', 'Setup,0.49', 'Error Handling,0.45', 'Parser,0.51', 'Parser,0.49', 'Database,0.35', 'User Interface,0.45', 'Error Handling,0.43', 'Database,0.31', 'Database,0.56', 'Test,0.49'}"
126,kong,"{'Big Data,0.44', 'Geographic Information System ,0.41', 'Machine Learning,0.4', 'Parser,0.42', 'Parser,0.51', 'Parser,0.48', 'Parser,0.45'}"
127,kordamp,"{'Data Structure,0.49', 'Network,0.37', 'Parser,0.4', 'Data Structure,0.52', 'Software Development and IT Operations,0.52', 'User Interface,0.43', 'Software Development and IT Operations,0.57', 'Software Development and IT Operations,0.56', 'Data Structure,0.55', 'Software Development and IT Operations,0.63', 'Internationalization,0.16', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.53', 'Software Development and IT Operations,0.51'}"
128,kudu,"{'Data Structure,0.34', 'Parser,0.26', 'Application Performance Manager,0.51', 'Parser,0.48', 'Database,0.47', 'Parser,0.29', 'Big Data,0.26', 'Interpreter,0.19', 'Error Handling,0.49', 'Software Development and IT Operations,0.57', 'Setup,0.32', 'Database,0.53', 'Error Handling,0.46', 'Error Handling,0.27', 'Software Development and IT Operations,0.63', 'Software Development and IT Operations,0.53', 'Parser,0.47', 'Application Performance Manager,0.28', 'Application Performance Manager,0.52', 'Parser,0.15', 'Data Structure,0.48', 'Software Development and IT Operations,0.47', 'Setup,0.5', 'Application Performance Manager,0.34', 'Application Performance Manager,0.26', 'Parser,0.22', 'Data Structure,0.36', 'User Interface,0.43', 'Parser,0.27', 'User Interface,0.46', 'Setup,0.59', 'Data Structure,0.56', 'Multi Thread,0.14', 'Data Structure,0.53', 'Application Performance Manager,0.47', 'Setup,0.4'}"
129,lang,"{'Input and Output,0.59', 'Input and Output,0.41', 'Language,0.54', 'Language,0.51', 'Data Structure,0.45', 'Input and Output,0.53', 'Parser,0.48', 'Multi Thread,0.26', 'Parser,0.46', 'Multi Thread,0.62', 'Data Structure,0.42', 'Language,0.41', 'Software Development and IT Operations,0.48', 'Parser,0.47', 'Multi Thread,0.75', 'Big Data,0.47', 'Language,0.46', 'Parser,0.52', 'Software Development and IT Operations,0.7', 'Natural Language Processing,0.42', 'Software Development and IT Operations,0.69', 'Input and Output,0.48', 'Error Handling,0.58', 'Natural Language Processing,0.52', 'Big Data,0.43', 'Error Handling,0.56', 'Parser,0.56', 'Natural Language Processing,0.54', 'Software Development and IT Operations,0.51', 'User Interface,0.59', 'Error Handling,0.57', 'Parser,0.45', 'Data Structure,0.49', 'Natural Language Processing,0.49', 'Multi Thread,0.44', 'Natural Language Processing,0.56', 'Data Structure,0.6', 'Natural Language Processing,0.48', 'Error Handling,0.52', 'Big Data,0.51', 'Multi Thread,0.48', 'Error Handling,0.6', 'Software Development and IT Operations,0.65', 'Parser,0.51', 'Data Structure,0.56', 'Data Structure,0.53', 'Natural Language Processing,0.43', 'Geographic Information System ,0.66', 'Input and Output,0.42', 'Natural Language Processing,0.57', 'Input and Output,0.49', 'Data Structure,0.61', 'Language,0.49', 'Error Handling,0.44', 'Parser,0.61', 'Language,0.44', 'Parser,0.43', 'Input and Output,0.4', 'Natural Language Processing,0.5', 'Language,0.39', 'Multi Thread,0.34', 'Data Structure,0.54', 'Language,0.42', 'Language,0.4', 'Multi Thread,0.57', 'Parser,0.49', 'Natural Language Processing,0.46', 'Parser,0.54', 'Parser,0.53', 'Multi Thread,0.59', 'Natural Language Processing,0.6', 'Natural Language Processing,0.53', 'Natural Language Processing,0.41', 'Machine Learning,0.48', 'Multi Thread,0.3', 'Multi Thread,0.64', 'Data Structure,0.58', 'Data Structure,0.59'}"
130,libsvm,"{'Parser,0.28'}"
131,listeners,"{'Input and Output,0.41', 'Interpreter,0.38', 'User Interface,0.4', 'Event Handling,0.5', 'User Interface,0.42', 'Event Handling,0.61', 'User Interface,0.45', 'Data Structure,0.5'}"
132,localfile,"{'Database,0.59', 'Database,0.54', 'Input and Output,0.5', 'Data Structure,0.61', 'Database,0.53', 'Error Handling,0.74', 'User Interface,0.6', 'Error Handling,0.77', 'Big Data,0.64'}"
133,locationtech,"{'Logic,0.24', 'Logic,0.37', 'Parser,0.26', 'Data Structure,0.45', 'Parser,0.42', 'Data Structure,0.31', 'Parser,0.46', 'Parser,0.5', 'Parser,0.18', 'Big Data,0.2', 'Data Structure,0.21', 'Data Structure,0.24', 'Multi Thread,0.55', 'Data Structure,0.48', 'Parser,0.28', 'Parser,0.41', 'Data Structure,0.5', 'Machine Learning,0.31', 'Software Development and IT Operations,0.44', 'Parser,0.66', 'Error Handling,0.65', 'Data Structure,0.37', 'Data Structure,0.46', 'Multi Thread,0.54', 'Multi Thread,0.14'}"
134,log4j,"{'Logging,0.45', 'Parser,0.5', 'Logging,0.5', 'Logging,0.72', 'Logging,0.7', 'Logging,0.48'}"
135,logging,"{'Logging,0.78', 'Logging,0.81', 'Logging,0.84', 'Logging,0.83', 'Logging,0.8', 'Logging,0.72', 'Logging,0.79', 'Logging,0.75', 'Logging,0.77', 'Logging,0.74', 'Logging,0.76', 'Logging,0.7', 'Logging,0.65'}"
136,logic,"{'Data Structure,0.69', 'Input and Output,0.58', 'Logic,0.72', 'Logic,0.75', 'Logic,0.84', 'Event Handling,0.67', 'Logic,0.48', 'Parser,0.46', 'Language,0.85', 'User Interface,0.66', 'Language,0.75', 'Logic,0.71', 'Database,0.55', 'Error Handling,0.55', 'Geographic Information System ,0.55', 'Natural Language Processing,0.65', 'User Interface,0.65', 'Parser,0.52', 'Parser,0.64', 'Software Development and IT Operations,0.71', 'Logic,0.6', 'User Interface,0.61', 'Software Development and IT Operations,0.69', 'Natural Language Processing,0.61', 'Parser,0.72', 'Error Handling,0.58', 'Data Structure,0.65', 'Natural Language Processing,0.52', 'User Interface,0.68', 'User Interface,0.6', 'Natural Language Processing,0.54', 'Software Development and IT Operations,0.62', 'Error Handling,0.54', 'Parser,0.56', 'Parser,0.77', 'Error Handling,0.53', 'Software Development and IT Operations,0.66', 'Parser,0.74', 'Logic,0.68', 'Logic,0.59', 'Error Handling,0.57', 'Natural Language Processing,0.64', 'Natural Language Processing,0.68', 'Data Structure,0.67', 'Logic,0.56', 'Parser,0.79', 'Logic,0.41', 'Parser,0.68', 'Natural Language Processing,0.66', 'User Interface,0.57', 'Database,0.57', 'Parser,0.65', 'Logic,0.53', 'Logic,0.57', 'Software Development and IT Operations,0.61', 'Error Handling,0.47', 'Software Development and IT Operations,0.63', 'Input and Output,0.44', 'Parser,0.57', 'Database,0.74', 'Error Handling,0.62', 'Logic,0.77', 'User Interface,0.63', 'Database,0.87', 'Software Development and IT Operations,0.55', 'Parser,0.59', 'Logic,0.47', 'Logging,0.79', 'Software Development and IT Operations,0.59', 'Parser,0.6', 'Logic,0.67', 'Parser,0.66', 'Parser,0.7', 'Logic,0.64', 'Software Development and IT Operations,0.65', 'Logic,0.46', 'Natural Language Processing,0.58', 'Data Structure,0.56', 'User Interface,0.72', 'Data Structure,0.68', 'Natural Language Processing,0.62', 'Logic,0.52', 'Natural Language Processing,0.71', 'Input and Output,0.78', 'Big Data,0.56', 'Geographic Information System ,0.63', 'Natural Language Processing,0.72', 'Data Structure,0.61', 'Database,0.78', 'Parser,0.63', 'Parser,0.62', 'Error Handling,0.68', 'Parser,0.55', 'Software Development and IT Operations,0.64', 'Data Structure,0.66', 'Logic,0.7', 'Logic,0.63', 'Error Handling,0.5', 'Parser,0.61', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'User Interface,0.64', 'Search,0.79', 'Software Development and IT Operations,0.58', 'Natural Language Processing,0.5', 'Software Development and IT Operations,0.53', 'Logging,0.67', 'Input and Output,0.75', 'Logic,0.38', 'Logic,0.62', 'Input and Output,0.56', 'Event Handling,0.65', 'Event Handling,0.64', 'Geographic Information System ,0.58', 'Logic,0.51', 'Database,0.62', 'Logic,0.78', 'Logic,0.76', 'Geographic Information System ,0.7', 'Logic,0.65', 'Application Performance Manager,0.72', 'User Interface,0.7', 'Natural Language Processing,0.7', 'Logic,0.54', 'Natural Language Processing,0.46', 'Data Structure,0.74', 'Logic,0.73', 'Natural Language Processing,0.59', 'Parser,0.58', 'Natural Language Processing,0.39', 'Application Performance Manager,0.66', 'Natural Language Processing,0.4', 'Logic,0.55', 'Logic,0.58', 'Logic,0.69', 'Database,0.72', 'Logic,1.0', 'Database,0.61', 'Natural Language Processing,0.53', 'Natural Language Processing,0.6', 'Test,0.71', 'Parser,0.71', 'Natural Language Processing,0.41', 'Logic,0.43', 'Logic,0.66', 'Logic,0.49', 'Logic,0.81', 'Logic,0.61', 'Parser,0.75', 'Data Structure,0.64', 'Search,0.87', 'Parser,0.73', 'Logic,0.74', 'Logic,0.5', 'Event Handling,0.59', 'Database,0.76', 'Parser,0.67', 'Database,0.7', 'Data Structure,0.58', 'Data Structure,0.75'}"
137,lucene,"{'Parser,0.69', 'Parser,0.6', 'Parser,0.84', 'Parser,0.82', 'Search,0.45', 'Search,0.73', 'Parser,0.62', 'Parser,0.78', 'Parser,0.55', 'Search,0.71', 'Parser,0.58', 'Database,0.55'}"
138,management,"{'Software Development and IT Operations,0.65', 'Software Development and IT Operations,0.78'}"
139,mashape,"{'Machine Learning,0.41', 'Parser,0.6', 'Geographic Information System ,0.44', 'Big Data,0.45'}"
140,matching,"{'Data Structure,0.61', 'Data Structure,0.45', 'Data Structure,0.55', 'Big Data,0.45', 'Data Structure,0.49', 'Data Structure,0.52', 'Search,0.48', 'Input and Output,0.64', 'Big Data,0.48', 'Data Structure,0.51', 'Data Structure,0.6', 'Data Structure,0.54', 'Big Data,0.52', 'Big Data,0.51', 'Big Data,0.42', 'Data Structure,0.65', 'Software Development and IT Operations,0.49', 'Data Structure,0.59', 'Data Structure,0.68'}"
141,math,"{'Machine Learning,0.47', 'Logic,0.37', 'Machine Learning,0.37', 'Machine Learning,0.42', 'Logic,0.53', 'Machine Learning,0.4', 'Machine Learning,0.54', 'Machine Learning,0.52', 'Machine Learning,0.55', 'Machine Learning,0.53', 'Big Data,0.53', 'Machine Learning,0.57', 'Logic,0.56', 'Logic,0.52', 'Machine Learning,0.46', 'Machine Learning,0.61', 'Big Data,0.59'}"
142,memory,"{'Big Data,0.57', 'Input and Output,0.5', 'Data Structure,0.69', 'User Interface,0.59', 'Data Structure,0.55', 'Data Structure,0.66', 'Data Structure,0.67', 'Big Data,0.53', 'Big Data,0.55', 'User Interface,0.57', 'Application Performance Manager,0.67', 'Big Data,0.61', 'Data Structure,0.52', 'Application Performance Manager,0.6', 'Software Development and IT Operations,0.61', 'Data Structure,0.57', 'Input and Output,0.64', 'User Interface,0.54', 'Big Data,0.48', 'User Interface,0.63', 'Data Structure,0.51', 'Application Performance Manager,0.59', 'Data Structure,0.6', 'Application Performance Manager,0.61', 'Software Development and IT Operations,0.59', 'Big Data,0.51', 'Data Structure,0.5', 'Test,0.59', 'Application Performance Manager,0.65', 'Big Data,0.66', 'Data Structure,0.65', 'Data Structure,0.58', 'Error Handling,0.6', 'Input and Output,0.65', 'Data Structure,0.59', 'Data Structure,0.56'}"
143,metadata,"{'Natural Language Processing,0.71', 'Data Structure,0.69', 'Data Structure,0.74', 'Input and Output,0.51', 'Data Structure,0.55', 'Data Structure,0.66', 'Data Structure,0.67', 'Data Structure,0.63', 'Big Data,0.54', 'Data Structure,0.73', 'Database,0.59', 'Data Structure,0.71', 'Data Structure,0.52', 'User Interface,0.66', 'Input and Output,0.72', 'Data Structure,0.62', 'Database,0.61', 'Database,0.58', 'Big Data,0.68', 'User Interface,0.64', 'Database,0.55', 'User Interface,0.65', 'Data Structure,0.64', 'Data Structure,0.57', 'Data Structure,0.72', 'Database,0.69', 'Data Structure,0.6', 'Database,0.65', 'Database,0.67', 'Data Structure,0.7', 'Database,0.66', 'Database,0.68', 'Application Performance Manager,0.65', 'Parser,0.6', 'Application Performance Manager,0.71', 'Data Structure,0.65', 'Database,0.62', 'Database,0.7', 'Data Structure,0.58', 'User Interface,0.68', 'Database,0.63', 'Data Structure,0.68', 'Data Structure,0.56', 'Data Structure,0.75', 'User Interface,0.7', 'Database,0.64'}"
144,metrics,"{'Data Structure,0.58'}"
145,migrations,"{'Geographic Information System ,0.39', 'Software Development and IT Operations,0.57', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.55', 'Software Development and IT Operations,0.5', 'Software Development and IT Operations,0.62'}"
146,misc,"{'Error Handling,0.32', 'Big Data,0.63', 'Data Structure,0.62', 'Input and Output,0.46', 'Data Structure,0.6', 'Input and Output,0.52', 'Big Data,0.64', 'Data Structure,0.64'}"
147,ml,"{'Data Structure,0.49', 'Test,0.45', 'Big Data,0.56', 'Natural Language Processing,0.46', 'Data Structure,0.43', 'Natural Language Processing,0.42', 'Input and Output,0.38', 'Data Structure,0.48', 'Test,0.63', 'Test,0.4', 'Test,0.32'}"
148,mock,"{'Test,0.42', 'Test,0.5', 'Test,0.37'}"
149,mockitousage,"{'Error Handling,0.61', 'Test,0.62', 'Input and Output,0.41', 'Natural Language Processing,0.55', 'Test,0.64', 'Test,0.7', 'Application,0.52', 'Test,0.54', 'Application Performance Manager,0.67', 'Software Development and IT Operations,0.57', 'Setup,0.52', 'Test,0.81', 'Test,0.31', 'Data Structure,0.47', 'Test,0.55', 'Software Development and IT Operations,0.62', 'Database,0.76', 'Data Structure,0.51', 'Software Development and IT Operations,0.59', 'Test,0.76', 'Setup,0.56', 'Test,0.59', 'Machine Learning,0.43', 'Error Handling,0.65', 'Test,0.66', 'Software Development and IT Operations,0.65', 'Test,0.58', 'Test,0.5', 'Data Structure,0.53', 'Test,0.56', 'Test,0.35'}"
150,mockitoutil,"{'Test,0.72', 'Machine Learning,0.58', 'Software Development and IT Operations,0.45', 'Parser,0.58', 'Geographic Information System ,0.49', 'Test,0.6', 'Machine Learning,0.42', 'Software Development and IT Operations,0.62', 'Logic,0.36', 'Test,0.81', 'Logging,0.24', 'Software Development and IT Operations,0.59', 'Machine Learning,0.62'}"
151,model,"{'Database,0.73', 'Data Structure,0.69', 'Event Handling,0.67', 'Database,0.82', 'Big Data,0.61', 'Big Data,0.58', 'Search,0.84', 'Parser,0.47', 'Database,0.8', 'Data Structure,0.57', 'User Interface,0.65', 'Search,0.82', 'Event Handling,0.6', 'Parser,0.64', 'Software Development and IT Operations,0.54', 'Event Handling,0.77', 'Data Structure,0.65', 'Big Data,0.6', 'Database,0.79', 'Search,0.61', 'Software Development and IT Operations,0.62', 'Error Handling,0.54', 'Database,0.64', 'Big Data,0.57', 'Search,0.85', 'Parser,0.74', 'Data Structure,0.55', 'Data Structure,0.67', 'Application Performance Manager,0.64', 'Data Structure,0.73', 'Data Structure,0.49', 'User Interface,0.58', 'Data Structure,0.47', 'Database,0.74', 'Search,0.76', 'Data Structure,0.72', 'Data Structure,0.6', 'Database,0.87', 'Database,0.71', 'Search,0.77', 'Search,0.78', 'Software Development and IT Operations,0.59', 'Big Data,0.51', 'Software Development and IT Operations,0.5', 'Error Handling,0.52', 'Search,0.86', 'Parser,0.66', 'Software Development and IT Operations,0.65', 'Data Structure,0.68', 'Data Structure,0.56', 'Data Structure,0.53', 'Database,0.85', 'Utility,0.54', 'Database,0.86', 'Big Data,0.56', 'Database,0.89', 'Input and Output,0.55', 'Data Structure,0.61', 'Software Development and IT Operations,0.64', 'Data Structure,0.66', 'Event Handling,0.7', 'Big Data,0.54', 'Big Data,0.55', 'Parser,0.61', 'Data Structure,0.62', 'Event Handling,0.66', 'User Interface,0.64', 'Search,0.79', 'Software Development and IT Operations,0.58', 'Utility,0.45', 'Data Structure,0.48', 'Data Structure,0.7', 'Database,0.68', 'Search,0.63', 'Big Data,0.63', 'Geographic Information System ,0.58', 'Software Development and IT Operations,0.6', 'Database,0.9', 'Search,0.66', 'Event Handling,0.69', 'Data Structure,0.63', 'Big Data,0.49', 'Parser,0.53', 'Data Structure,0.52', 'Event Handling,0.68', 'Parser,0.71', 'Data Structure,0.64', 'Database,0.83', 'Utility,0.44', 'Data Structure,0.51', 'Data Structure,0.5', 'Software Development and IT Operations,0.56', 'Database,0.7', 'Data Structure,0.58', 'Data Structure,0.43', 'Data Structure,0.59', 'Data Structure,0.75'}"
152,moduletest,"{'User Interface,0.54'}"
153,mongodb,"{'Database,0.59', 'Parser,0.3', 'Database,0.33', 'Internationalization,0.35', 'Database,0.48', 'Database,0.53', 'Software Development and IT Operations,0.57', 'Database,0.5', 'Internationalization,0.34', 'Database,0.69', 'Database,0.6', 'Database,0.41', 'Database,0.43', 'Database,0.46', 'Database,0.35', 'Software Development and IT Operations,0.6', 'Parser,0.44', 'Database,0.64'}"
154,myanmartools,"{'Multi Thread,0.16', 'Multi Thread,0.33'}"
155,mysql,"{'Database,0.59', 'Error Handling,0.63', 'Database,0.7', 'Database,0.5', 'Database,0.52', 'Database,0.64'}"
